iteration,best_objective,destroy_operator,repair_operator,improved_best
1,-14.755427905427904,high_risk_cluster,spread,False
2,-14.424431124431123,congestion_cluster_k3,bounded_exact,True
3,-14.424431124431123,congestion_cluster_k3,bounded_exact,False
4,-14.424431124431123,congestion_cluster_k3,best_of_top,False
5,-14.424431124431123,high_risk_cluster,sampled_greedy,False
6,-14.424431124431123,congestion_cluster_k3,best_of_top,False
7,-14.424431124431123,congestion_cluster_k3,bounded_exact,False
8,-14.424431124431123,congestion_cluster_k3,bounded_exact,False
9,-14.424431124431123,high_risk_cluster,bounded_exact,False
10,-14.424431124431123,high_risk_cluster,best_of_top,False
11,-14.424431124431123,high_risk_cluster,spread,False
12,-14.424431124431123,congestion_cluster_k3,spread,False
13,-14.424431124431123,congestion_cluster_k3,bounded_exact,False
14,-14.424431124431123,congestion_cluster_k3,spread,False
15,-14.424431124431123,congestion_cluster_k3,bounded_exact,False
16,-14.424431124431123,congestion_cluster_k3,best_of_top,False
17,-14.424431124431123,global_restart,spread,False
18,-14.424431124431123,high_risk_cluster_k3,spread,False
19,-14.424431124431123,global_restart,sampled_greedy,False
20,-14.424431124431123,congestion_cluster_k3,spread,False
