variant,block_id,x,y,objective,congestion_penalty,retrieval_risk_penalty
constructive,A,0,0,-14.755427905427904,11.11098346098346,4.2
constructive,B,7,4,-14.755427905427904,11.11098346098346,4.2
constructive,C,5,0,-14.755427905427904,11.11098346098346,4.2
constructive,D,1,3,-14.755427905427904,11.11098346098346,4.2
constructive,E,4,3,-14.755427905427904,11.11098346098346,4.2
constructive,F,0,0,-14.755427905427904,11.11098346098346,4.2
search,A,0,0,-14.424431124431123,10.77998667998668,4.199999999999999
search,B,7,4,-14.424431124431123,10.77998667998668,4.199999999999999
search,F,0,0,-14.424431124431123,10.77998667998668,4.199999999999999
search,C,6,0,-14.424431124431123,10.77998667998668,4.199999999999999
search,D,4,3,-14.424431124431123,10.77998667998668,4.199999999999999
search,E,0,4,-14.424431124431123,10.77998667998668,4.199999999999999
